,Positioning,Quad,Single_1,4G bands,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,GPRS,3G bands,CPU,OS,USB,Audio quality,2G bands,Battery (old),Announced,Performance,Internal,Chipset,GPU,Status,3.5mm jack,Price,Triple,Music play,5G bands,Features_1,Build,NFC,_3,EDGE,_2,Model Name,SIM,Brand,Display,Type,Camera,Technology,Size,Model Image,Weight,Infrared port,Colors,Loudspeaker_1,Resolution,Protection,Speed,Sensors,Models,Radio,Bluetooth,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
eMMC 5.1,"GPS, GLONASS",,"8 MP, f/2.0","1, 3, 5, 7, 8, 20, 40",,1080p@30fps,18W wired,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Hexa-core (4x1.6 GHz Cortex-A53 & 2x2.0 GHz Cortex-A73),"Android 7.0 (Nougat), Flyme 6.2",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2018, January",,"32GB 3GB RAM, 64GB 3GB RAM",Exynos 7872 (14 nm),Mali-G71 MP1,"Available. Released 2018, January",Yes,About 150 EUR,,,,,"Glass front, aluminum back, aluminum frame",No,,,,Meizu M6s,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.7 inches, 83.8 cm2(~76.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m6s.jpg,160 g (5.64 oz),,"Black, Silver, Gold, Blue",,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",M6s,No,"4.2, A2DP, LE",Dual-LED dual-tone flash,152 x 72.5 x 8 mm (5.98 x 2.85 x 0.31 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3000 mAh, non-removable","16 MP, f/2.0, PDAF",
eMMC 5.1,"GPS, GLONASS",,"8 MP, f/2.0",LTE,,1080p@30fps,24W wired,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",,HSDPA 900 / 1900 / 2100,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 7 (Nougat), Flyme 7.3",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2017, September. Released 2017, September",,"16GB 2GB RAM, 32GB 3GB RAM",Mediatek MT6750 (28 nm),Mali-T860MP2,Discontinued,Yes,About 130 EUR,,,,,,No,,,,Meizu M6,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.2 inches, 74.5 cm2(~69.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m6--.jpg,143 g (5.04 oz),,"Moonlight Silver, Champagne Gold, Matte Black, Electric Light Blue",,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","M6, MZ-MEIZU M6",No,"4.0, A2DP, LE",Dual-LED dual-tone flash,148.2 x 72.8 x 8.3 mm (5.83 x 2.87 x 0.33 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3070 mAh, non-removable","13 MP, f/2.2, PDAF",
CDMA 800,"GPS, GLONASS",,,"1, 3, 5, 7, 8, 20, 38, 40",,1080p@30fps,24W wired,1080p@30fps,eMMC 5.1,"12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF5 MP, f/2.0, AF","Wi-Fi 802.11 a/b/g/n, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core 2.0 GHz Cortex-A53,"Android 7.1.2 (Nougat), Flyme 7.3",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2017, August. Released 2017, September",,"16GB 4GB RAM, 32GB 3GB RAM, 64GB 4GB RAM",Qualcomm MSM8953 Snapdragon 625 (14 nm),Adreno 506,Discontinued,Yes,About 170 EUR,,,,,"Glass front, aluminum back, aluminum frame",No,,,,Meizu M6 Note,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / CDMA / HSPA / LTE,"5.5 inches, 82.6 cm2(~71.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m6-note.jpg,173 g (6.10 oz),,"Black, Blue, Gold",,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","M6 Note, MZ-M6 Note",No,"4.2, A2DP, LE","quad-LED dual-tone flash, HDR, panorama",154.6 x 75.2 x 8.4 mm (6.09 x 2.96 x 0.33 in),microSDXC,Yes,"Li-Ion 4000 mAh, non-removable","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",
CDMA2000 1xEV-DO & TD-SCDMA,"GPS, GLONASS, BDS",,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","1, 3, 7, 38, 39, 40, 41",,4K@30fps,"24W wired, 45% in 30 min",,"Secondary 2"" AMOLED display, 240 x 536 pixels",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"Deca-core (2x2.6 GHz Cortex-A73, 4x1.9 GHz Cortex-A35, 4x2.2 GHz Cortex-A53)","Android 7.0 (Nougat), Flyme 7.3",USB Type-C,Noise -92.1dB / Crosstalk -92.8dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 70h,"2017, July. Released 2017, August",GFXBench: 4.8fps (ES 3.1 onscreen),"64GB 6GB RAM, 128GB 6GB RAM",Mediatek MT6799 Helio X30 (10 nm),PowerVR 7XTP,Discontinued,Yes,About 500 EUR,,,,,"Glass front, aluminum back, aluminum frame",No,,,32-bit/192kHz audio,Meizu Pro 7 Plus,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: Infinite (nominal), 4.147 (sunlight)",Super AMOLED,Photo/Video,GSM / HSPA / EVDO / LTE,"5.7 inches, 88.5 cm2(~72.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-7-plus.jpg,170 g (6.00 oz),,"Black, gold, silver",Voice 87dB / Noise 72dB / Ring 90dB,"1440 x 2560 pixels, 16:9 ratio (~518 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",PRO 7 Plus,No,"4.2, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",157.3 x 77.2 x 7.3 mm (6.19 x 3.04 x 0.29 in),No,Yes,"Li-Ion 3500 mAh, non-removable","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF",
CDMA2000 1xEV-DO & TD-SCDMA,"GPS, GLONASS, BDS",,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","1, 3, 7, 38, 39, 40, 41",,"4K@30fps, 1080p@30fps",24W wired,1080p@30fps,"Secondary 2"" AMOLED display, 240 x 536 pixels",,"Wi-Fi 802.11 a/b/g/n or a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"Octa-core (4x2.4 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)Deca-core (2x2.6 GHz Cortex-A73, 4x1.9 GHz Cortex-A35, 4x2.2 GHz Cortex-A53)","Android 7.0 (Nougat), Flyme 7.3",USB Type-C,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2017, July. Released 2017, August",,"64GB 4GB RAM, 128GB 4GB RAM",Mediatek MT6757T Helio P25 (16 nm) - standard editionMediatek MT6799 Helio X30 (10 nm) - high edition,Mali-T880MP2PowerVR 7XTP,Discontinued,Yes,About 400 EUR,,,,,,No,,,32-bit/192kHz audio,Meizu Pro 7,Nano-SIM + Nano-SIM,Meizu,,Super AMOLED,,GSM / HSPA / EVDO / LTE,"5.2 inches, 74.9 cm2(~71.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-7.jpg,163 g (5.75 oz),,"Black, gold, red",,"1080 x 1920 pixels, 16:9 ratio (~423 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","PRO 7, MZ-PRO 7",No,"4.2, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",147.6 x 70.7 x 7.3 mm (5.81 x 2.78 x 0.29 in),No,Yes,"Li-Ion 3000 mAh, non-removable","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF",
eMMC 5.0,"GPS, GLONASS",,"5 MP, f/2.2","1, 3, 5, 7, 8, 20, 38, 40",,720p@30fps,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A53,"Android 6.0 (Marshmallow), Flyme 6","microUSB 2.0, OTG",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2017, May. Released 2017, June",GeekBench: 1285 (v4.4),16GB 2GB RAM,Mediatek MT6737 (28 nm),Mali-T720MP1,Discontinued,Yes,About 140 EUR,,,,,,No,,,,Meizu M5c,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m5c-.jpg,135 g (4.76 oz),,"Black, Blue, Red, Gold, Pink",,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"HSPA, LTE","Accelerometer, gyro (digital), proximity, compass","M5c, MZ-M5c",No,"4.1, A2DP, LE","Dual-LED dual-tone flash, panorama",144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3000 mAh, non-removable","8 MP, f/2.0, AF",
,"GPS, GLONASS",,"8 MP, f/2.0, 1/3.2"", 1.4µm",LTE,,1080p@30fps,24W wired,1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",Yes,HSDPA,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),"Android 7 (Nougat), Flyme 6",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2017, April. Released 2017, April",,"16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM",Mediatek MT6757 Helio P20 (16 nm),Mali-T880MP2,Discontinued,Yes,About 210 EUR,,,,,,No,,Yes,,Meizu E2,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.5 inches, 82.6 cm2(~71.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-e2.jpg,155 g (5.47 oz),,"Black, Gold, Silver",,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.2, A2DP, LE","Quad-LED dual-tone flash, HDR, panorama",153.7 x 75.7 x 7.5 mm (6.05 x 2.98 x 0.30 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3400 mAh, non-removable","13 MP, f/2.2, PDAF",
,"GPS, GLONASS",,"5 MP, f/2.0",LTE 1800 / 2100 / 2600 TD-LTE 2300 / 2600,,1080p@30fps,24W wired,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",,HSDPA 900 / 1900 / 2100,Octa-core 1.3 GHz Cortex-A53,"Android 6.0 (Marshmallow), Flyme 5.2",microUSB 2.0,Noise -91.3dB / Crosstalk -86.1dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 56h,"2017, February. Released 2017, February",Basemark OS II 2.0: 781Basemark X: 4646,"16GB 3GB RAM, 32GB 3GB RAM",Mediatek MT6753 (28 nm),Mali-T720MP2,Discontinued,Yes,About 130 EUR,,,,,,No,,,,Meizu M5s,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: 955:1 (nominal), 2.580 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.2 inches, 74.5 cm2(~69.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m5s.jpg,143 g (5.04 oz),,"Champanage Gold, Rose Gold, Stay Gray, Moonlight Silver",Voice 65dB / Noise 69dB / Ring 84dB,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro (digital), proximity, compass","M5s, MZ-M5s",No,"4.0, A2DP, LE",Dual-LED dual-tone flash,148.2 x 72.5 x 8.4 mm (5.83 x 2.85 x 0.33 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3000 mAh, non-removable","13 MP, f/2.2, PDAF",
eMMC 5.1,"GPS, GLONASS",,"5 MP, f/2.0",LTE,,1080p@30fps,24W wired,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",,HSDPA 900 / 1900 / 2100,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 6.0 (Marshmallow), Flyme 7.3",microUSB 2.0,Noise -93.8dB / Crosstalk -94.1dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 98h,"2016, December. Released 2016, December",GFXBench: 1.9fps (ES 3.1 onscreen),"16GB 4GB RAM, 32GB 3GB RAM, 64GB 4GB RAM",Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,Discontinued,Yes,About 190 EUR,,,,,,No,,,,Meizu M5 Note,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: 754:1 (nominal), 2.189 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.5 inches, 82.6 cm2(~70.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m5-note.jpg,175 g (6.17 oz),,"Gray, Silver, Gold, Blue",Voice 65dB / Noise 70dB / Ring 86dB,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","M5 Note, MZ-M5 Note",No,"4.0, A2DP, LE",Dual-LED dual-tone flash,153.6 x 75.8 x 8.2 mm (6.05 x 2.98 x 0.32 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 4000 mAh, non-removable","13 MP, f/2.2, PDAF",
,"GPS, GLONASS",,"5 MP, f/2.0, 1/4.0"", 1.4µm",LTE,,1080p@30fps,24W wired,1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,HSDPA,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),"Android 6 (Marshmallow), Flyme 6",USB Type-C,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2016, November. Released 2016, December",,"32GB 3GB RAM, 64GB 4GB RAM",Mediatek MT6757 Helio P20 (16 nm),Mali-T880MP2,Discontinued,Yes,,,,,,,No,,Yes,,Meizu M3x,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.5 inches, 83.4 cm2(~71.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m3x.jpg,165 g (5.82 oz),,"Blue, Gold, Black, Silver",-25.0 LUFS (Very good),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.1, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",153.8 x 76 x 7.4 mm (6.06 x 2.99 x 0.29 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3200 mAh, non-removable","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF",
CDMA2000 1xEV-DO & TD-SCDMA,"GPS, GLONASS",,"5 MP, f/2.0, 1/4.0"", 1.4µm","1, 3, 7, 38, 39, 40, 41",,"4K@30fps, 1080p@30fps",24W wired,1080p@30fps,3D Touch display,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x2.0 GHz Mongoose & 4x1.5 GHz Cortex-A53) - 64 GB versionOcta-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53) - 128 GB version,"Android 6 (Marshmallow), Flyme 7.3",USB Type-C 3.1,Noise -93.5dB / Crosstalk -92.6dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 96h,"2016, November. Released 2016, November",GFXBench: 7fps (ES 3.1 onscreen),"64GB 4GB RAM, 128GB 4GB RAM",Exynos 8890 Octa (14 nm),Mali-T880 MP10 - 64 GB versionMali-T880 MP12 - 128 GB version,Discontinued,Yes,About 550 EUR,,,,,,Yes,32-bit/192kHz audio,,UFS 2.0,Meizu Pro 6 Plus,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: Infinite (nominal), 3.935 (sunlight)",Super AMOLED,Photo/Video,GSM / HSPA / EVDO / LTE,"5.7 inches, 89.6 cm2(~74.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-6-plus.jpg,158 g (5.57 oz),,"Gold, Silver, Gray",Voice 60dB / Noise 69dB / Ring 70dB,"1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, heart rate",PRO 6 Plus,No,"4.1, A2DP, LE","Laser AF, Ten-LED dual-tone flash, HDR, panorama",155.6 x 77.3 x 7.3 mm (6.13 x 3.04 x 0.29 in),No,Yes,"Li-Ion 3400 mAh, non-removable","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF, 4-axis OIS",
eMMC 5.0,"GPS, GLONASS, BDS",,5 MP,LTE,,1080p@30fps,"24W wired, 60% in 40 min",,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Yes,HSDPA,Octa-core 2.0 GHz Cortex-A53,"Android 5.1 (Lollipop), Flyme 5","microUSB 2.0, OTG",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2016, April. Released 2016, April",,"16GB 3GB RAM, 32GB 3GB RAM",Mediatek MT6795 Helio X10 (28 nm),PowerVR G6200,Discontinued,Yes,About 190 EUR,,,,,,No,,Yes,,Meizu MX5e,Nano-SIM + Nano-SIM,Meizu,,AMOLED,,GSM / HSPA / LTE,"5.5 inches, 83.4 cm2(~74.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg,149 g (5.26 oz),,"Gray, Gold, Silver, Black/Silver",,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.1, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",149.9 x 74.7 x 7.6 mm (5.90 x 2.94 x 0.30 in),No,Yes,"Li-Ion 3150 mAh, non-removable","16 MP, AF",
eMMC 5.1,"GPS, GLONASS",,"5 MP, f/2.0",LTE,,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Android OS,microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2016, August. Released 2016, August",,"16GB 2GB RAM, 32GB 3GB RAM",Mediatek MT6750 (28 nm),Mali-T860MP2,Discontinued,Yes,About 160 EUR,,,,,,No,,,,Meizu U10,Dual SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-u10.jpg,139 g (4.90 oz),,"Black, White, Shampane Gold",,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.0, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",141.9 x 69.6 x 7.9 mm (5.59 x 2.74 x 0.31 in),No,Yes,"Li-Ion 2760 mAh, non-removable","13 MP, f/2.2, PDAF",
eMMC 5.1,"GPS, GLONASS",,"5 MP, f/2.0",LTE 1800 / 2100 / 2600,,1080p@30fps,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",,HSDPA 900 / 2100,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 6.0 (Marshmallow), Flyme UI","microUSB 2.0, OTG",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2016, August. Released 2016, August",,"16GB 2GB RAM, 32GB 3GB RAM",Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,Discontinued,Yes,About 190 EUR,,,,,,No,,,,Meizu U20,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.5 inches, 83.4 cm2(~72.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-u20.jpg,158 g (5.57 oz),,"Black, Silver, Rose Gold, Gold",,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Asahi Dragontrail Glass,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","MZ-U20, U20",No,"4.0, A2DP, LE","Dual-LED dual-tone flash, HDR, panorama",153 x 75.4 x 7.7 mm (6.02 x 2.97 x 0.30 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3260 mAh, non-removable","13 MP, f/2.2, PDAF",
CDMA2000 1xEV-DO & TD-SCDMA,"GPS, GLONASS, BDS",,"5 MP, f/2.0, 1/4.0"", 1.4µm","1, 3, 7, 38, 39, 40, 41",,"4K@30fps, 1080p@30fps",24W wired,1080p@30fps,3D Touch display,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"Deca-core (2x2.5 GHz Cortex-A72, 4x2 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)","Android 6.0 (Marshmallow), Flyme 7.3",USB Type-C 3.1,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2016, November. Released 2016, December",,64GB 4GB RAM,Mediatek MT6797T Helio X25 (20 nm),Mali-T880 MP4,Discontinued,Yes,About 430 EUR,,,,,,Yes,,,32-bit/192kHz audio,Meizu Pro 6s,Nano-SIM + Nano-SIM,Meizu,,Super AMOLED,,GSM / HSPA / EVDO / LTE,"5.2 inches, 74.5 cm2(~71.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-6s.jpg,163 g (5.75 oz),,"Black, Gold, Silver, Rose Gold",,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Corning Gorilla Glass 4,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.1, A2DP, LE","Laser AF, Ten-LED dual-tone flash, HDR, panorama",147.7 x 70.8 x 7.3 mm (5.81 x 2.79 x 0.29 in),No,Yes,"Li-Ion 3060 mAh, non-removable","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF, 4-axis OIS",
eMMC 5.1,"GPS, GLONASS",,"5 MP, f/2.0","1, 3, 5, 7, 8, 20, 38, 40",,1080p@30fps,,1080p@30fps,,,"Wi-Fi 802.11 a/b/g/n, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 6.0 (Marshmallow), Flyme 6.3",microUSB 2.0,Noise -93.3dB / Crosstalk -92.2dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 76h,"2016, October. Released 2016, November",GFXBench: 3.7fps (ES 3.1 onscreen),"16GB 2GB RAM, 32GB 3GB RAM",Mediatek MT6750 (28 nm),Mali-T860MP2,Discontinued,Yes,About 120 EUR,,,,,"Glass front, aluminum back, aluminum frame",No,,,,Meizu M5,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: 1060:1 (nominal), 2.710 (sunlight)",IPS LCD,Photo/Video,GSM / HSPA / LTE,"5.2 inches, 74.5 cm2(~69.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m5.jpg,138 g (4.87 oz),,"Mint Green, Glacier White, Champanage Gold, Sapphire Blue, Matte Black",Voice 63dB / Noise 69dB / Ring 82dB,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","M5, MZ-MEIZU_M5, M611H",No,"4.0, A2DP, LE",Dual-LED dual-tone flash,147.3 x 72.8 x 8.2 mm (5.80 x 2.87 x 0.32 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 3070 mAh, non-removable","13 MP, f/2.2, PDAF",
eMMC 5.1,"GPS, GLONASS",,"5 MP, f/2.0",LTE,,1080p@30fps,"24W wired, 50% in 30 min",,,,"Wi-Fi 802.11 a/b/g/n, dual-band",Yes,HSDPA,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 6.0 (Marshmallow), Flyme 5.2",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 100h,"2016, September. Released 2016, September",GFXBench: 1.9fps (ES 3.1 onscreen),64GB 3GB RAM,Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,Discontinued,Yes,About 270 EUR,,,,,,No,,Yes,,Meizu M3 Max,Nano-SIM + Nano-SIM,Meizu,"Contrast ratio: 976:1 (nominal), 2.447 (sunlight)",IPS LCD,,GSM / HSPA / LTE,"6.0 inches, 99.2 cm2(~74.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m3m.jpg,189 g (6.67 oz),,"Champagne Gold, Silver, Gray, Rose Gold",Voice 62dB / Noise 70dB / Ring 84dB,"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.1, A2DP, LE",Dual-LED dual-tone flash,163.4 x 81.6 x 7.9 mm (6.43 x 3.21 x 0.31 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 4100 mAh, non-removable","13 MP, f/2.2, 1/3.0"", PDAF",
eMMC 5.1,GPS,,"5 MP, f/2.0",LTE,,1080p@30fps,"24W wired, 50% in 30 min",,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Yes,HSDPA,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Android 5.1 (Lollipop), Flyme 5.2",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2016, August. Released 2016, August",,32GB 3GB RAM,Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,Discontinued,Yes,About 220 EUR,,,,,,No,,Yes,,Meizu M3e,Nano-SIM + Nano-SIM,Meizu,,IPS LCD,,GSM / HSPA / LTE,"5.5 inches, 82.6 cm2(~70.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-m3e.jpg,172 g (6.07 oz),,"Blue, Gold, Gray, Pink, Silver",,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"HSPA, LTE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,No,"4.1, A2DP, LE",Dual-LED dual-tone flash,153.6 x 75.8 x 7.9 mm (6.05 x 2.98 x 0.31 in),microSDXC,Yes,"Li-Ion 3100 mAh, non-removable","13 MP, f/2.2, 1/3.0"", PDAF",
