,CPU,Features,4G bands,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Games,Price,3.5mm jack,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
,Quad-core 1.2 GHz Cortex-A7,LED flash,,2 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 120 EUR,Yes,Dual SIM,"8 MP, AF",-,Qualcomm MSM8252,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, February. Released 2015, February",,GSM / HSPA,,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-l10.jpg,"5.0 inches, 68.9 cm2(~63.5% screen-to-body ratio)",QMobile Linq L10,,Black,IPS LCD,,,146.2 x 74.2 x 8.8 mm (5.76 x 2.92 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.7 GHz,"LED flash, HDR","3, 5, 20",5 MP,Up to 162 h (2G) / Up to 162 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 150 EUR,Yes,Micro-SIM,"8 MP, AF",119 g (4.20 oz),Nvidia Tegra 4i,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Up to 14 h 50 min (2G) / Up to 8 h 40 min (3G),microSDHC (dedicated slot),"HSPA, LTE Cat3 100/50 Mbps",No,"2015, February. Released 2015, February",,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass 2,ULP GeForce,https://fdn2.gsmarena.com/vv/bigpic/qmobile-lt250.jpg,"4.7 inches, 60.9 cm2(~64.4% screen-to-body ratio)",QMobile Noir LT250,,Black,IPS LCD,,,140.1 x 67.5 x 8.8 mm (5.52 x 2.66 x 0.35 in),4GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 1900 / 2100,,,1080p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,LED flash,"1, 3, 7",2 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 120 EUR,Yes,Dual SIM,"5 MP, AF",-,Mediatek MT6590,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~208 ppi density)",,microSDHC,"HSPA, LTE",No,"2015, February. Released 2015, February",,GSM / HSPA / LTE,,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-lt150.jpg,"4.7 inches, 60.9 cm2(~64.6% screen-to-body ratio)",QMobile Noir LT150,,Black,TFT,,,137.5 x 68.5 x 8.9 mm (5.41 x 2.70 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 1800 mAh battery,"Accelerometer, proximity",
,Octa-core 1.4 GHz Cortex-A7,"LED flash, HDR, panorama",,2 MP,,Android 4.2.2 (Jelly Bean),Yes,"4.0, A2DP",,About 150 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6592M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, February. Released 2015, February",,GSM / HSPA,,QMobile,,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x600.jpg,"5.0 inches, 68.9 cm2",QMobile Noir X600,,Black,TFT,,,8.3 mm thickness,16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 1800 mAh battery,"Accelerometer, proximity",
,Octa-core 1.4 GHz Cortex-A7,"LED flash, HDR, panorama",,2 MP,,Android 4.2.2 (Jelly Bean),Yes,"4.0, A2DP",,About 150 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6592M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, February. Released 2015, February",,GSM / HSPA,,QMobile,,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x700.jpg,"5.0 inches, 68.9 cm2(~70.3% screen-to-body ratio)",QMobile Noir X700,,Black,IPS LCD,,,140 x 70 x 7.9 mm (5.51 x 2.76 x 0.31 in),8GB 1GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 1920 mAh battery,"Accelerometer, proximity",
,Octa-core 1.7 GHz Cortex-A7Octa-core 1.4 GHz Cortex-A7,"Dual-LED flash, HDR, panorama",,5 MP2 MP,,Android 4.2.2 (Jelly Bean),Yes,"4.0, A2DP",,About 160 EUR,Yes,Dual SIM,"13 MP, AF8 MP, AF",-,Mediatek MT6592 (28 nm)Mediatek MT6592M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, February. Released 2015, February",,GSM / HSPA,,QMobile,,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x900.jpg,"5.0 inches, 68.9 cm2(~68.8% screen-to-body ratio)",QMobile Noir X900,,Black,IPS LCD,,,141.5 x 70.8 x 7.8 mm (5.57 x 2.79 x 0.31 in),"8GB 1GB RAM, 16GB 2GB RAM","microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 2100 mAh battery,"Accelerometer, proximity",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,VGA,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 90 EUR,Yes,Dual SIM,"5 MP, AF",-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, January. Released 2015, January",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x60.jpg,"4.0 inches, 45.5 cm2(~57.6% screen-to-body ratio)",QMobile Noir X60,,Black,IPS LCD,,,125 x 63.2 x 9 mm (4.92 x 2.49 x 0.35 in),4GB 512MB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1500 mAh battery,Accelerometer,
,Dual-core 1.3 GHz Cortex-A7,LED flash,,VGA,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 80 EUR,Yes,Dual SIM,5 MP,-,Mediatek MT6572 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, January. Released 2015, January",,GSM / HSPA,,QMobile,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x80.jpg,"4.0 inches, 45.5 cm2(~57.5% screen-to-body ratio)",QMobile Noir X80,,Black,IPS LCD,,,124.1 x 63.8 x 9.9 mm (4.89 x 2.51 x 0.39 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1500 mAh battery,"Accelerometer, proximity, compass",
,Dual-core 1.3 GHz Cortex-A7,LED flash,,VGA,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 80 EUR,Yes,Dual SIM,"5 MP, AF",-,Mediatek MT6572A,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, January. Released 2015, January",,GSM / HSPA,,QMobile,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x90.jpg,"5.0 inches, 68.9 cm2",QMobile Noir X90,,Black,TFT,,,9.3 mm thickness,8GB 1GB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1800 mAh battery,Accelerometer,
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 120 EUR,Yes,Dual SIM,8 MP,-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, January. Released 2015, January",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x550.jpg,"4.7 inches, 60.9 cm2(~63.3% screen-to-body ratio)",QMobile Noir X550,,Black,IPS LCD,,,139.1 x 69.2 x 7.9 mm (5.48 x 2.72 x 0.31 in),8GB 1GB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1800 mAh battery,Accelerometer,
,Quad-core 1.3 GHz Cortex-A7,Dual-LED flash,,2 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 110 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, December. Released 2014, December",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-linq-x300.jpg,"4.5 inches, 55.8 cm2(~63.5% screen-to-body ratio)",QMobile Linq X300,,Black,IPS LCD,,,136 x 64.6 x 9 mm (5.35 x 2.54 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p,Li-Ion 1800 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,VGA,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 100 EUR,Yes,Dual SIM,5 MP,-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, December. Released 2014, December",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x100.jpg,"4.5 inches, 55.8 cm2(~67.8% screen-to-body ratio)",QMobile Linq X100,,Black,TFT,,,128 x 64.3 x 9.5 mm (5.04 x 2.53 x 0.37 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1700 mAh battery,"Accelerometer, proximity, compass",
,Dual-core 1.0 GHz Cortex-A7,LED flash,,VGA,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 60 EUR,Yes,Dual SIM,3.15 MP,-,Mediatek MT6572 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, December. Released 2014, December",,GSM / HSPA,,QMobile,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x35.jpg,"4.0 inches, 45.5 cm2(~57.5% screen-to-body ratio)",QMobile Noir X35,,Black,TFT,,,124.8 x 63.5 x 10.5 mm (4.91 x 2.5 x 0.41 in),4GB 512MB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1450 mAh battery,Accelerometer,
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama",,2 MP,Up to 230 h (2G) / Up to 230 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 90 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Up to 16 h (2G) / Up to 10 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, November. Released 2014, November",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x400.jpg,"4.5 inches, 55.8 cm2(~65.5% screen-to-body ratio)",QMobile Noir X400,,Black,TFT,,,131 x 65 x 7.8 mm (5.16 x 2.56 x 0.31 in),8GB 1GB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 1800 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 100 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, November. Released 2014, November",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x500.jpg,"4.7 inches, 60.9 cm2(~65.0% screen-to-body ratio)",QMobile Noir X500,,Black,IPS LCD,,,137.8 x 68 x 8.8 mm (5.43 x 2.68 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,A-GPS only,FM radio,HSDPA 900 / 2100,,,Yes,Li-Ion 1700 mAh battery,Accelerometer,
No,,,,,,,Yes,2.0,Downloadable,About 20 EUR,Yes,Dual SIM,Yes,-,,Yes,Discontinued,No,,GSM 900 / 1800 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,microSDHC,,No,"2014, September. Released 2014, September",,GSM,QAppsMP4/H.263 playerOrganizerVoice memo,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-m800.jpg,"2.4 inches, 17.8 cm2(~25.4% screen-to-body ratio)",QMobile M800,SMS,Black,"TFT, 65K colors",Yes,No,126.5 x 55.6 x 13.3 mm (4.98 x 2.19 x 0.52 in),64MB 64MB RAM,microUSB 2.0,No,No,FM radio,,,,Yes,Li-Ion 1800 mAh battery,No,No
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,,"Android 4.2 (Jelly Bean), upgradable to 4.4 (KitKat)",Yes,"4.0, A2DP",,About 120 EUR,Yes,Dual SIM,"5 MP, AF",-,Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, September. Released 2014, September",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-i7.jpg,"4.5 inches, 55.8 cm2(~59.9% screen-to-body ratio)",QMobile Noir i7,,Black,IPS LCD,,,137 x 68 x 8.8 mm (5.39 x 2.68 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 1700 mAh battery,Accelerometer,
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama",,2 MP,Up to 555 h (2G) / Up to 555 h (3G),"Android 4.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Yes,"4.0, A2DP",,About 120 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 31 h 30 min (2G) / Up to 24 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, September. Released 2014, September",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-m90.jpg,"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)",QMobile Noir M90,,,TFT,,,144 x 72 x 10.5 mm (5.67 x 2.83 x 0.41 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,Li-Ion 4200 mAh battery,"Accelerometer, proximity, compass",
,Octa-core 1.4 GHz Cortex-A7,"LED flash, HDR, panorama",,2 MP,,Android 4.2.2 (Jelly Bean),Yes,"4.0, A2DP",,About 110 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6592M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, September. Released 2014, September",,GSM / HSPA,,QMobile,,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/qmobile-x800.jpg,"4.7 inches, 60.9 cm2(~64.9% screen-to-body ratio)",QMobile Noir X800,,Black,IPS LCD,,,138 x 68 x 7.6 mm (5.43 x 2.68 x 0.30 in),"8GB 1GB RAM, 16GB 2GB RAM","microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity",
No,,,,,,,Yes,2.0,Downloadable,About 20 EUR,Yes,Dual SIM,Yes,-,,Yes,Discontinued,No,,GSM 900 / 1800 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,microSDHC,,No,"2014, August. Released 2014, August",,GSM,QAppsMP4/H.263 playerOrganizerVoice memo,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-b100.jpg,"2.4 inches, 17.8 cm2(~31.5% screen-to-body ratio)",QMobile B100TV,SMS,Black,"TFT, 65K colors",Yes,No,114 x 49.6 x 13.2 mm (4.49 x 1.95 x 0.52 in),32MB 8MB RAM,microUSB 2.0,No,No,Wireless FM radio (no wired headphones required),,,,Yes,Li-Ion 1000 mAh battery,No,No
,Dual-core 1.0 GHz Cortex-A7,LED flash,,VGA,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 60 EUR,Yes,Dual SIM,3.15 MP,-,Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~235 ppi density)",,microSDHC,,No,"2014, August. Released 2014, August",,GSM,,QMobile,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a115.jpg,"3.97 inches, 3.97, 44.9 cm2(~55.6% screen-to-body ratio)",QMobile Noir A115 ATV,,Black,TFT,,Class 12,125 x 64.5 x 12.1 mm (4.92 x 2.54 x 0.48 in),512MB 512MB RAM,microUSB 2.0,Class 12,GPS,FM radio,,,,480p,Li-Ion 1700 mAh battery,"Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,LED flash,,2 MP,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,About 120 EUR,Yes,Dual SIM,"8 MP, AF",-,Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, August. Released 2014, August",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-i10.jpg,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",QMobile Noir i10,,Black,IPS LCD,,,147 x 73 x 8.8 mm (5.79 x 2.87 x 0.35 in),8GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,i10,720p@30fps,Li-Ion 1700 mAh battery,Accelerometer,
No,,LED flash,,,,,Yes,2.0,Downloadable,About 30 EUR,Yes,Dual SIM,Yes,-,,Yes,Discontinued,No,,GSM 900 / 1800 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",,microSDHC,,No,"2014, July. Released 2014, July",,GSM,QAppsMP4/H.263 playerOrganizerVoice memo,QMobile,,,https://fdn2.gsmarena.com/vv/bigpic/qmobile-b800.jpg,"3.2 inches, 31.7 cm2(~43.2% screen-to-body ratio)",QMobile B800,"SMS, MMS",Black,"TFT, 65K colors",Yes,Yes,127.9 x 57.4 x 10.9 mm (5.04 x 2.26 x 0.43 in),128MB 64MB RAM,microUSB 2.0,Yes,No,FM radio,,,,Yes,Li-Ion 1200 mAh battery,No,No
,Dual-core 1.3 GHz Cortex-A7,"LED flash, panorama",,VGA,,Android 4.4 (KitKat),Yes,"4.0, A2DP",,About 90 EUR,Yes,Dual SIM,5 MP,-,Mediatek MT6572 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, July. Released 2014, July",,GSM / HSPA,,QMobile,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-a8i.jpg,"4.0 inches, 45.5 cm2(~56.1% screen-to-body ratio)",QMobile Noir A8i,,Black,TFT,,,126 x 64.4 x 11.2 mm (4.96 x 2.54 x 0.44 in),4GB 512MB RAM,microUSB 2.0,,A-GPS only,"FM radio, recording",HSDPA 900 / 2100,,,720p,Li-Ion 1600 mAh battery,"Accelerometer, proximity, compass",
eMMC 4.5,Quad-core 2.3 GHz Krait 400,LED flash,,8 MP,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 310 EUR,Yes,Micro-SIM,"16 MP, AF",150 g (5.29 oz),Qualcomm MSM8274 Snapdragon 800 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,No,HSPA 21.1/5.76 Mbps,No,"2014, July. Released 2014, July",,GSM / HSPA,,QMobile,Corning Gorilla Glass 3,Adreno 330,https://fdn2.gsmarena.com/vv/bigpic/qmobile-noir-z5.jpg,"5.5 inches, 83.4 cm2(~73.8% screen-to-body ratio)",QMobile Noir Z5,,Black,IPS LCD,,,150.6 x 75 x 9.5 mm (5.93 x 2.95 x 0.37 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 850 / 1900 / 2100,,,Yes,"Li-Po 2500 mAh, non-removable","Accelerometer, gyro, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama",,5 MP,,Android 4.2 (Jelly Bean),"Yes, with stereo speakers","4.0, A2DP",,About 160 EUR,Yes,Dual SIM,"13 MP, AF",-,Mediatek MT6582 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,No,HSPA 21.1/5.76 Mbps,No,"2014, July. Released 2014, July",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/qmobile-i12.jpg,"5.0 inches, 68.9 cm2(~69.3% screen-to-body ratio)",QMobile Noir i12,,Black,IPS LCD,,,143 x 69.5 x 6.9 mm (5.63 x 2.74 x 0.27 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity, compass",
,Octa-core 1.7 GHz Cortex-A7,"LED flash, HDR, panorama",,5 MP,Up to 490 h (2G) / Up to 490 h (3G),Android 4.2 (Jelly Bean),Yes,"4.0, A2DP, EDR",,About 200 EUR,Yes,Micro-SIM,"13 MP, AF",133 g (4.69 oz),Mediatek MT6592 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Up to 27 h (2G) / Up to 11 h (3G),microSDXC (dedicated slot),HSPA 21.1/5.76 Mbps,No,"2014, July. Released 2014, July",,GSM / HSPA,,QMobile,Corning Gorilla Glass 3,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/qmobile-z6.jpg,"5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)",QMobile Noir Z6,,Black,Super AMOLED,,,145.1 x 70.2 x 5.6 mm (5.71 x 2.76 x 0.22 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,Stereo FM radio,HSDPA 850 / 1900 / 2100,,,1080p@30fps,"Li-Ion 2300 mAh, non-removable","Accelerometer, gyro, proximity, compass",
,Quad-core 1.2 GHz Cortex-A7,,,2 MP,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",,About 160 EUR,Yes,Micro-SIM,"5 MP, AF",-,Mediatek MT8389W,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900,,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",,microSDHC (dedicated slot),HSPA 42.2/11.5 Mbps,No,"2014, June. Released 2014, June",,GSM / HSPA,,QMobile,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/qtab-x50.jpg,"8.0 inches, 198.2 cm2",QMobile QTab X50,,"Black, White",IPS LCD,,,-,16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,"Stereo FM radio, RDS",HSDPA 850 / 900 / 1900 / 2100,,,480p@24fps,Li-Ion 4500 mAh battery,"Accelerometer, compass",
