,Single_1,OS,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,128GB 8GB RAM,Display,Talk time,32GB 2GB RAM,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Dual,Single,2G bands,Resolution,128GB 4GB RAM,Announced,Technology,_1,SAR,GPU,Battery (new),Model Image,Size,Model Name,256GB 6GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,NFC,Build,_5,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
HSDPA 850 / 900 / 2100 - India,,"Android 10, upgradable to Android 11, Realme UI 2.0",Yes,-28.5 LUFS (Average),Qualcomm SM7125 Snapdragon 720G (8 nm),,"Available. Released 2020, March 13","HDR, panorama",,"1324:1 contrast ratio, 421 nits max brightness (measured)",,,,,,,,FM radio,"30W wired, 100% in 57 min","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41 - Global",Photo/Video,,,About 540 EUR,24-bit/192kHz Hi-Res audio,"16 MP, f/2.1, 26mm (wide), 1/3.06"", 1.0µm8 MP, f/2.2, 105˚ (ultrawide), 1/4.0"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~399 ppi density)",,"2020, March 05",GSM / HSPA / LTE,"1, 3, 5, 8, 38, 40, 41 - India",1.19 W/kg (head)     0.92 W/kg (body),Adreno 618,,https://fdn2.gsmarena.com/vv/bigpic/realme-6-pro.jpg,"6.6 inches, 105.2 cm2(~84.7% screen-to-body ratio)",Realme 6 Pro,,,,,"GPS (L1+L5), GLONASS, BDS, NavIC",,4300 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),,UFS 2.1,Nano-SIM + Nano-SIM,,,Endurance rating 107h,microSDXC (dedicated slot),Corning Gorilla Glass 5,,163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),,"64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG","RMX2061, RMX2063",,Yes,"5.1, A2DP, LE",,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF12 MP, f/2.5, 54mm (telephoto), 1/3.4"", 1.0µm, PDAF, 2x optical zoom8 MP, f/2.3, 13mm (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",202 g (7.13 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60/120fps, gyro-EIS","HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/150 Mbps",Yes (market/region dependent),"Glass front (Gorilla Glass 5), glass back, plastic frame",,Realme,,,,"Lightning Blue, Lightning Orange, Lightning Red","IPS LCD, 90Hz, 480 nits (typ)","AnTuTu: 268785 (v8)GeekBench: 7027 (v4.4), 1666 (v5.1)GFXBench: 19fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
HSDPA 850 / 900 / 2100 - India,,"Android 10, upgradable to Android 11, Realme UI",Yes,-28.7 LUFS (Average),Mediatek MT6785 Helio G90T (12 nm),,"Available. Released 2020, March 11","HDR, panorama",,"1315:1 contrast ratio, 451 nits max brightness (measured)",,,,,,,,FM radio,"30W wired, 100% in 55 min","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41 - Global",Photo/Video,,,About 190 EUR,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,"2020, March 05",GSM / HSPA / LTE,"1, 3, 5, 8, 38, 40, 41 - India",1.14 W/kg (head)     0.59 W/kg (body),Mali-G76 MC4,,https://fdn2.gsmarena.com/vv/bigpic/realme-6.jpg,"6.5 inches, 102.0 cm2(~84.1% screen-to-body ratio)",Realme 6,,,,,"GPS, GLONASS, BDS",,4300 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),0.71 W/kg (head)     0.57 W/kg (body),UFS 2.1,Nano-SIM + Nano-SIM,,,Endurance rating 106h,microSDXC (dedicated slot),Corning Gorilla Glass 3,,162.1 x 74.8 x 8.9 mm (6.38 x 2.94 x 0.35 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG",RMX2001,,Yes,"5.0, A2DP, LE",,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.3, 13mm (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP B/W, f/2.4, (depth)",191 g (6.74 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60/120fps, gyro-EIS","HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/75 Mbps",Yes (market/region dependent),"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,,"Comet Blue, Comet White","IPS LCD, 90Hz, 480 nits (typ)","AnTuTu: 288931 (v8)GeekBench: 7815 (v4.4), 1726 (v5.1)GFXBench: 16fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41 - india",,"Android 10, upgradable to Android 11, Realme UI 2.0",No,-23.2 LUFS (Very good),Qualcomm SM8250 Snapdragon 865 5G (7 nm+),,"Available. Released 2020, March 05",HDR,,635 nits max brightness (measured),,,,,,,,No,"65W wired, PD, 100% in 35 min","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 42, 66 - Global",Photo/Video,,,About 360 EUR,24-bit/192kHz Hi-Res audio,"32 MP, f/2.5, 26mm (wide), 1/2.8"", 0.8µm8 MP, f/2.2, 17mm (ultrawide), 1/4.0"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,"2020, February 24",GSM / HSPA / LTE / 5G,"41, 78, 79 SA/NSA - India",,Adreno 650,,https://fdn2.gsmarena.com/vv/bigpic/realme-x50-pro-5g-.jpg,"6.44 inches, 100.1 cm2(~84.9% screen-to-body ratio)",Realme X50 Pro 5G,,,,"1, 3, 5, 7, 28, 38, 40, 41, 77, 78 SA/NSA - Global","GPS (L1+L5), GLONASS, BDS, GALILEO, NavIC",,4200 mAh,,"LED flash, HDR, panorama",Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),,UFS 3.0,Nano-SIMNano-SIM + Nano-SIM,,,Endurance rating 90h,No,Corning Gorilla Glass 5,,159 x 74.2 x 8.9 mm (6.26 x 2.92 x 0.35 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,"RMX2075, RMX2071, RMX2076",,"Yes, with dual speakers","5.1, A2DP, LE, aptX HD",,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF12 MP, f/2.5, 54mm (telephoto), 2x optical zoom, PDAF8 MP, f/2.3, 13mm (ultrawide), PDAF2 MP B/W, f/2.4, (depth)",205 g (7.23 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30/60fps, 1080p@30/60fps; gyro-EIS","HSPA, LTE, 5G",Yes,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",,Realme,,,,"Moss Green, Rust Red","Super AMOLED, 90Hz, HDR10+",AnTuTu: 592447 (v8)GeekBench: 3175 (v5.1)GFXBench: 45fps (ES 3.1 onscreen),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1080p@30/120fps, gyro-EIS",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"1, 3, 5, 7, 8, 38, 40, 41 - India",,"Android 10, Realme UI",Yes,,Mediatek MT6769V/CB Helio G70 (12 nm),,"Available. Released 2020, February 20","HDR, panorama",,,,,,,,,,FM radio,10W wiredReverse wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global",,,,About 150 EUR,,,"5 MP, f/2.4, 27mm (wide), 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2020, February 19",GSM / HSPA / LTE,Weather-sealed ports & loudspeaker,,Mali-G52 2EEMC2,,https://fdn2.gsmarena.com/vv/bigpic/reame-c3-3cameras.jpg,"6.5 inches, 102.0 cm2(~82.7% screen-to-body ratio)",Realme C3 (3 cameras),,,,,"GPS, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),,eMMC 5.1,Nano-SIM + Nano-SIM,"12 MP, f/1.8, 28mm (wide), 1/2.8"", 1.25µm, PDAF2 MP, (macro)2 MP, f/2.4, (depth)",,,microSDXC (dedicated slot),Corning Gorilla Glass 3,,164.4 x 75 x 9 mm (6.47 x 2.95 x 0.35 in),,"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG",,,Yes,"5.0, A2DP, LE, aptX",,,195 g (6.88 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/75 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,,"Frozen Blue, Blazing Red","IPS LCD, 480 nits (typ)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
Weather-sealed ports & loudspeaker,,"Android 10, Realme UI",Yes,,Mediatek MT6769V/CB Helio G70 (12 nm),,"Available. Released 2020, February 14","HDR, panorama",,,,,,,,,,FM radio,10W wired,"1, 3, 5, 8, 38, 40, 41",,,,About 90 EUR,,"12 MP, f/1.8, 28mm (wide), 1/2.8"", 1.25µm, PDAF2 MP, f/2.4, (depth)","5 MP, f/2.4, 27mm (wide), 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2020, February 05",GSM / HSPA / LTE,eMMC 5.1,,Mali-G52 2EEMC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-c3-2020.jpg,"6.5 inches, 102.0 cm2(~82.7% screen-to-body ratio)",Realme C3,,,,,"GPS, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 3,,164.4 x 75 x 9 mm (6.47 x 2.95 x 0.35 in),,"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG","RMX2027, RMX2020, RMX2021",,Yes,"5.0, A2DP, LE, aptX",,,195 g (6.88 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/75 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,,"Frozen Blue, Blazing Red, Volcano Grey shade","IPS LCD, 480 nits (typ)",AnTuTu: 192223 (v8)GeekBench: 1262 (v5.1)GFXBench: 15fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Accelerometer, proximity, compass"
CDMA 800 & TD-SCDMA,,"Android 10, ColorOS 7",No,,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),,"Available. Released 2020, January",HDR,,,,,,,,,,No,"30W wired, 70% in 30 min","1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",,,,About 680 EUR,24-bit/192kHz Hi-Res audio,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm8 MP, f/2.2, 17mm (ultrawide), 1/4.0"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~401 ppi density)",,"2020, January 07",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 620,,https://fdn2.gsmarena.com/vv/bigpic/realme-x50-5g-.jpg,"6.57 inches, 104.2 cm2(~83.9% screen-to-body ratio)",Realme X50 5G (China),,,,"1, 41, 78, 79 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO",,"4200 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),,UFS 2.1,Nano-SIM + Nano-SIM,,,,No,Corning Gorilla Glass 5,,163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),,"64GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 12GB RAM",USB Type-C 2.0,"RMX2051, RMX2025",,Yes,"5.0, A2DP, LE",,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF12 MP, f/3.0, 54mm (telephoto), 2x optical zoom, PDAF8 MP, f/2.3, 13mm (ultrawide)2 MP, f/2.4, (macro)",202 g (7.13 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps; gyro-EIS","HSPA, LTE, 5G (1.9 Gbps DL)",Yes,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",,Realme,,,,"Glacier, Polar","IPS LCD, 120Hz",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1080p@30fps, gyro-EIS",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"1, 3, 5, 8, 38, 40, 41 - India",,"Android 9.0 (Pie), upgradable to Android 10, Realme UI",Yes,,Qualcomm SDM665 Snapdragon 665 (11 nm),,"Available. Released 2020, January","HDR, panorama",,,,,,,,,,FM radio,10W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global",,,,About 170 EUR,,,"8 MP, f/2.0",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,"2020, January 06",GSM / HSPA / LTE,eMMC,,Adreno 610,,https://fdn2.gsmarena.com/vv/bigpic/realme-5i.jpg,"6.52 inches, 102.6 cm2(~83.2% screen-to-body ratio)",Realme 5i,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass (unspecified),,164.4 x 75 x 9.3 mm (6.47 x 2.95 x 0.37 in),,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","microUSB 2.0, OTG","RMX2030, RMX2032",,Yes,"5.0, A2DP, LE",,"12 MP, f/1.8, (wide), 1/2.9"", 1.25µm, PDAF8 MP, f/2.3, 13mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",195 g (6.88 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps, gyro-EIS","HSPA, LTE (2CA) 450/50 Mbps",No,"Glass front (Gorilla Glass), plastic back, plastic frame",,Realme,,,,"Blue, Green",IPS LCD,,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass"
Weather-sealed ports & loudspeaker,,"Android 9.0 (Pie), upgradable to Android 10, Realme UI",Yes,Voice 66dB / Noise 73dB / Ring 89dB,Qualcomm SDM665 Snapdragon 665 (11 nm),,"Available. Released 2019, November","HDR, panorama",,Contrast ratio: 1412:1,,,,,,,,FM radio,10W wired,"1, 3, 5, 8, 38, 40, 41",Photo/Video,,,About 270 EUR,,,"13 MP, f/2.0, 26mm (wide), 1/3.1"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,"2019, November 20",GSM / HSPA / LTE,eMMC,,Adreno 610,,https://fdn2.gsmarena.com/vv/bigpic/realme-5s.jpg,"6.5 inches, 102.8 cm2(~82.7% screen-to-body ratio)",Realme 5s,,,,,"GPS, GLONASS, GALILEO, BDS",,"5000 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,Nano-SIM + Nano-SIM,,,Endurance rating 143h,microSDXC (dedicated slot),Corning Gorilla Glass 3+,,164.4 x 75.6 x 9.3 mm (6.47 x 2.98 x 0.37 in),,"64GB 4GB RAM, 128GB 4GB RAM","microUSB 2.0, OTG",RMX1925,,Yes,"5.0, A2DP, LE",,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 13mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",198 g (6.98 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps, gyro-EIS","HSPA, LTE (2CA) 450/50 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,Noise -93.5dB / Crosstalk -90.1dB,"Crystal Purple, Crystal Blue, Crystal Red",IPS LCD,"AnTuTu: 139103 (v7), 168635 (v8)GeekBench: 5596 (v4.4)GFXBench: 12fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass"
eMMC 5.1,,"Android 9.0 (Pie), ColorOS 6.1",Yes,,Mediatek MT6762 Helio P22 (12 nm),,"Available. Released 2020, January",HDR,,,,,,,,,,FM radio,,"1, 3, 5, 8, 38, 40, 41",,,,About 40 EUR,,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF2 MP, f/2.4, (depth)","5 MP, f/2.0, 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,"2020, January",GSM / HSPA / LTE,,,PowerVR GE8320,,https://fdn2.gsmarena.com/vv/bigpic/realme-c2s.jpg,"6.1 inches, 91.3 cm2(~80.3% screen-to-body ratio)",Realme C2s,,,,,"GPS, GLONASS, BDS",,4000 mAh,,"LED flash, HDR, panorama",Octa-core 2.0 GHz Cortex-A53,,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,154.3 x 73.7 x 8.5 mm (6.07 x 2.90 x 0.33 in),,32GB 3GB RAM,"microUSB 2.0, OTG",,,Yes,"4.2, A2DP, LE",,,166 g (5.86 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front, plastic back, plastic frame",,Realme,,,,Diamond Black,IPS LCD,,HSDPA 850 / 900 / 2100,1080p@30fps,,"Accelerometer, proximity, compass"
eMMC 5.1,,"Android 9.0 (Pie), ColorOS 6 Lite",Yes,,Mediatek MT6762 Helio P22 (12 nm),,"Available. Released 2019, November",HDR,,,,,,,,,,FM radio,,"1, 3, 5, 8, 38, 40, 41",,,,About 100 EUR,,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF2 MP, f/2.4, (depth)","5 MP, f/2.0, 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,"2019, November",GSM / HSPA / LTE,,,PowerVR GE8320,,https://fdn2.gsmarena.com/vv/bigpic/realme-c2.jpg,"6.1 inches, 91.3 cm2(~80.3% screen-to-body ratio)",Realme C2 2020,,,,,"GPS, GLONASS, BDS",,"4000 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core 2.0 GHz Cortex-A53,,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 3,,154.3 x 73.7 x 8.5 mm (6.07 x 2.90 x 0.33 in),,"32GB 2GB RAM, 64GB 3GB RAM","microUSB 2.0, OTG",,,Yes,"4.2, A2DP, LE",,,166 g (5.86 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,,"Diamond Black, Diamond Blue",IPS LCD,,HSDPA 850 / 900 / 2100,1080p@30fps,,"Accelerometer, proximity, compass"
CDMA 800 & TD-SCDMA,,"Android 9.0 (Pie), upgradable to Android 11, Realme UI 2.0",Yes,Voice 82dB / Noise 75dB / Ring 91dB,Qualcomm SM8150 Snapdragon 855+ (7 nm),,"Available. Released 2019, October",HDR,,Contrast ratio: Infinite (nominal),,,,,,,,No,"50W wired, 100% in 35 min","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41 - China",Photo/Video,,,About 440 EUR,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - EMEA",,"16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",,"2019, October 15",GSM / CDMA / HSPA / EVDO / LTE,CDMA2000 1xEV-DO,,Adreno 640 (700 MHz),,https://fdn2.gsmarena.com/vv/bigpic/realme-x2-pro.jpg,"6.5 inches, 103.5 cm2(~84.9% screen-to-body ratio)",Realme X2 Pro,,,,,"GPS (L1+L5), GLONASS, BDS, GALILEO",,"4000 mAh, non-removable",,"Dual-LED flash, HDR, panorama",Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - EMEA,Nano-SIM + Nano-SIM,,,Endurance rating 94h,No,Corning Gorilla Glass 5,,161 x 75.7 x 8.7 mm (6.34 x 2.98 x 0.34 in),,"64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,RMX1931,,"Yes, with Dolby Atmos stereo speakers (2 dedicated amplifiers)","5.0, A2DP, LE",,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF13 MP, f/2.5, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, 2x optical zoom8 MP, f/2.2, 16mm (ultrawide)2 MP, f/2.4, (depth)",199 g (7.02 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30/60fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","HSPA, LTE",Yes,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",24-bit/192kHz Hi-Res audio (incl. speakers),Realme,,,Noise -91.3dB / Crosstalk -92.5dB,"Lunar White, Neptune Blue, Red Master Edition, Gray Master Edition","Super AMOLED, 90Hz, HDR10+, 1000 nits (peak)","AnTuTu: 396827 (v7), 467653 (v8)GeekBench: 10373 (v4.4)GFXBench: 37fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - China,"1080p@30fps, gyro-EIS","64GB UFS 2.1, 128/256GB UFS 3.0","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800 & TD-SCDMA,,"Android 9.0 (Pie), upgradable to Android 10, Realme UI",Yes,-28.0 LUFS (Good),Qualcomm SDM730 Snapdragon 730G (8 nm),,"Available. Released 2019, September",HDR,,432 nits max brightness (measured),,,,,,,,No,"30W wired, 67% in 30 min","1, 3, 4, 5, 8, 34, 38, 39, 40, 41 - China",Photo/Video,,,About 480 EUR,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA",,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",,"2019, September 24",GSM / CDMA / HSPA / EVDO / LTE,CDMA2000 1xEV-DO,,Adreno 618,,https://fdn2.gsmarena.com/vv/bigpic/realme-xt-730g.jpg,"6.4 inches, 100.5 cm2(~84.3% screen-to-body ratio)",Realme X2,,,,,"GPS, GLONASS, GALILEO, BDS",,"4000 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),,HSDPA 850 / 900 / 2100 - EMEA,Nano-SIM + Nano-SIM,,,Endurance rating 105h,microSDXC (dedicated slot),Corning Gorilla Glass 5,,158.7 x 75.2 x 8.6 mm (6.25 x 2.96 x 0.34 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","RMX1992, RMX1993, RMX1991",,Yes,"5.0, A2DP, LE",,"64 MP, f/1.8, (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.3, 13mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",182 g (6.42 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","HSPA, LTE",Yes,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame",,Realme,,,Noise -92.6dB / Crosstalk -88.1dB,"Pearl White, Pearl Blue, Pearl Green",Super AMOLED,"AnTuTu: 215578 (v7), 257443 (v8)GeekBench: 6926 (v4.4), 1750 (v5.1)GFXBench: 13fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1900 / 2100,1080p@30fps,UFS 2.1,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
