Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
,,No,,,Up to 1920 h,,,Yes,"2.1, A2DP",No,,,,,,No,,Dual SIM (Mini-SIM),,,102.5 g (3.60 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,176 x 220 pixels (~141 ppi density),Up to 16 h,microSDHC (dedicated slot),,,,,,"2012, June. Released 2012, June",,GSM,MP3/AAC playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x130.jpg,"2.0 inches, 12.6 cm2(~23.2% screen-to-body ratio)",Philips X130,,"SMS(threaded view), MMS",Silver,"TFT, 256K colors",Yes,Class 12,113 x 48 x 17.2 mm (4.45 x 1.89 x 0.68 in),,miniUSB,No,No,FM radio,,,,,Removable Li-Ion 2000 mAh battery,,,No
,,No,,,Up to 720 h,,,Yes,"2.1, A2DP",Yes,,,,,,Yes,,Dual SIM (Mini-SIM),,3.15 MP,88.7 g (3.10 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2012, June. Released 2012, June",,GSM,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x332.jpg,"2.4 inches, 17.8 cm2(~30.0% screen-to-body ratio)",Philips X332,,"SMS(threaded view), MMS, Email",Black/Silver,"TFT, 256K colors","Yes, Photocall",Class 12,117.3 x 50.7 x 11.7 mm (4.62 x 2.00 x 0.46 in),64MB,2.0,No,No,"Stereo FM radio, RDS",,,,QCIF,Removable Li-Ion 1000 mAh battery,,,Yes
,,No,,,Up to 1200 h,,,Yes,"2.1, A2DP",Yes,,,,,,Yes,,Dual SIM (Mini-SIM),,2 MP,107.7 g (3.77 oz),,Yes,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 14 h,microSDHC (dedicated slot),,,,,,"2012, June. Released 2012, June",,GSM,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x331.jpg,"2.8 inches, 24.3 cm2(~39.1% screen-to-body ratio)",Philips X331,,"SMS(threaded view), MMS, Email",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 12,108 x 57.5 x 14.4 mm (4.25 x 2.26 x 0.57 in),44MB,2.0,Yes,No,"Stereo FM radio, RDS",,,,QCIF,Removable Li-Ion 1530 mAh battery,,,Yes
,1.0 GHz,CDMA2000 1xEV-DO,,,Up to 200 h,,Android 2.3 (Gingerbread),Yes,"2.0, A2DP",,,,MP3/WAV/AAC+ playerMP4/H.264/WMV playerDocument viewerPhoto viewerOrganizerVoice memo/dialPredictive text input,,,Yes,,Mini-SIM,,"5 MP, AF",154 g (5.43 oz),,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,CDMA 800,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 5 h,microSDHC (dedicated slot),,,EV-DO Rev.A 3.1 Mbps,,,"2012, June. Released 2012, June",,CDMA / EVDO,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d633.jpg,"4.0 inches, 45.5 cm2(~56.8% screen-to-body ratio)",Philips D633,,,White,TFT,,No,125.4 x 63.9 x 11.5 mm (4.94 x 2.52 x 0.45 in),60MB,microUSB 2.0,No,"GPS, A-GPS",No,,,,480p,Removable Li-Ion 1630 mAh battery,,"Accelerometer, proximity",
LED flash,800 MHz Cortex-A9,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerDocument viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,,Yes,Up to 850 h,,Android 2.3 (Gingerbread),Yes,"2.0, A2DP, EDR",,,,,,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",164.5 g (5.82 oz),Mediatek MT6573 (65 nm),,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",Up to 10 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,,,"2012, May. Released 2012, May",,GSM / HSPA,,,,Philips,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/philips-w632.jpg,"3.8 inches, 41.1 cm2(~52.9% screen-to-body ratio)",Philips W632,,,Gray,"TFT, 256K colors",,,123.4 x 63 x 14 mm (4.86 x 2.48 x 0.55 in),512MB,2.0,,"GPS, A-GPS",No,HSDPA 850 / 2100,,,480p,Removable Li-Ion 2100 mAh battery,,Accelerometer,
,Cortex-A5,No,,,Up to 200 h (2G) / Up to 200 h (3G),,Android 2.3 (Gingerbread),Yes,"2.0, A2DP",,,,,About 460 EUR,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",157 g (5.54 oz),Qualcomm MSM7227A Snapdragon S1,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 5 h (2G) / Up to 4 h 30 min (3G),microSDHC (dedicated slot),,,HSPA 7.2/0.384 Mbps,,,"2012, April. Released 2012, April",,GSM / HSPA,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerDocument viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,,,Philips,,Adreno 200,https://fdn2.gsmarena.com/vv/bigpic/philips-w635.jpg,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",Philips W635,,,Gray,TFT,,,124 x 64.5 x 11.5 mm (4.88 x 2.54 x 0.45 in),512MB,2.0,,"GPS, A-GPS",No,HSDPA 850 / 2100,,,480p,Removable Li-Ion 1630 mAh battery,,"Accelerometer, proximity",
,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 2400 h,,,Yes,"2.1, A2DP",Yes,,,MP3/AAC+/WAV playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Dual SIM (Mini-SIM),,3.15 MP,180 g (6.35 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 30 h,microSDHC (dedicated slot),,,,,,"2012, March",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x528.jpg,"2.6 inches, 20.9 cm2(~34.2% screen-to-body ratio)",Philips X528,,"SMS(threaded view), MMS, Email",Black,"TFT, 256K colors",Yes,Class 12,120 x 51 x 18.1 mm (4.72 x 2.01 x 0.71 in),,miniUSB 2.0,Yes,No,FM radio,,,,QCIF@15fps,Removable Li-Ion 1500 mAh battery,,,Yes
,,No,,,Up to 400 h,,,Yes,No,No,,,,,,Yes,,Mini-SIM,,VGA,94 g (3.32 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 5 h,microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2012, March",,GSM,MP3/WAV/AAC+ playerH.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-t129.jpg,"2.4 inches, 17.8 cm2(~31.8% screen-to-body ratio)",Philips T129,,"SMS(threaded view), MMS, Email",Black,"TFT, 256K colors",Yes,Class 12,114.5 x 49 x 13.8 mm (4.51 x 1.93 x 0.54 in),82MB,miniUSB 2.0,No,No,FM radio,TD-SCDMA,,,Yes,Removable Li-Ion 1150 mAh battery,,,Yes
LED flash,,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerDocument viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,,Yes,Up to 600 h,,Android 2.3 (Gingerbread),Yes,2.0,,,,,,,Yes,,Mini-SIM,,"5 MP, AF",143 g (5.04 oz),,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 900 / 1800 / 1900,,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,HSPA 7.2/0.384 Mbps,,,"2012, March",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w820.jpg,"3.2 inches, 30.5 cm2(~46.1% screen-to-body ratio)",Philips W820,,,Black,TFT,,,114.6 x 57.7 x 14.8 mm (4.51 x 2.27 x 0.58 in),512MB,2.0,,"GPS, A-GPS",FM radio,HSDPA 2100,,,176x144@15fps,Removable Li-Ion 2100 mAh battery,,"Accelerometer, proximity, compass",
,,CDMA 800,,,Up to 340 h,,Android 2.2 (Froyo),Yes,"2.1, A2DP, EDR",,,,No,,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,No,,Dual SIM (Mini-SIM),,"5 MP, AF",165 g (5.82 oz),,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 900 / 1800 - SIM 1 & SIM 2,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 10 h,microSDHC (dedicated slot),,,EV-DO Rev.A 3.1 Mbps,,,"2012, January. Released 2012, January",,GSM / CDMA / EVDO,CDMA2000 1xEV-DO,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d822.jpg,"3.5 inches, 36.5 cm2(~47.3% screen-to-body ratio)",Philips D822,,,Black,"TFT, 256K colors",,No,120.8 x 63.8 x 14.9 mm (4.76 x 2.51 x 0.59 in),512MB,microUSB 2.0,No,"GPS, A-GPS",No,,,,480p@30fps,Removable Li-Ion 2000 mAh battery,,Accelerometer,
,,"External TFT display, 2.4 inches",,,,,,Yes,"2.1, A2DP, EDR",Yes,,,MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Dual SIM (Mini-SIM),,5 MP,189 g (6.67 oz),,Yes,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2012, January. Released 2012, January",,GSM / HSPA,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w727.jpg,"3.2 inches, 30.5 cm2(~49.2% screen-to-body ratio)",Philips W727,,"SMS(threaded view), MMS, Email, IM",Gray,"TFT, 256K colors","Yes, Photocall",,109.8 x 56.5 x 20.5 mm (4.32 x 2.22 x 0.81 in),100MB,miniUSB 2.0,,No,FM radio,HSDPA 2100 - SIM 1,,,Yes,Removable Li-Ion 1530 mAh battery,,Fingerprint (front-mounted),"Yes, MIDP 2.0"
,,Flashlight,,,Up to 720 h,,,Yes,No,Yes,,,MP3 playerOrganizerPredictive text input,,,No,,Mini-SIM,,,68 g (2.40 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,,"128 x 128 pixels, 1:1 ratio (~126 ppi density)",Up to 8 h,microSD (dedicated slot),,,,,,"2012, January. Released 2012, January",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x125.jpg,"1.44 inches, 1.44, 6.7 cm2(~14.5% screen-to-body ratio)",Philips X125,,SMS,Black,"TFT, 65K colors",Yes,No,107.5 x 43 x 15.5 mm (4.23 x 1.69 x 0.61 in),,miniUSB,No,No,FM radio,,,,,Removable Li-Ion 1050 mAh battery,,,No
LED flash,800 MHz Cortex-A9,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerDocument viewerphoto viewer/editorOrganizerVoice memo/dialPredictive text input,,Yes,Up to 437 h,,Android 2.3 (Gingerbread),Yes,"2.0, A2DP",,,,,,,Yes,,Dual SIM (Mini-SIM),,3.15 MP,102 g (3.60 oz),Mediatek MT6573 (65 nm),,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 10 h 10 min (2G) / Up to 8 h 30 min (3G),microSDHC (dedicated slot),,,HSPA 7.2/0.384 Mbps,,,"2011, December. Released 2011, December",,GSM / HSPA,,,,Philips,,PowerVR SGX531,https://fdn2.gsmarena.com/vv/bigpic/philips-w626.jpg,"3.5 inches, 36.5 cm2(~50.7% screen-to-body ratio)",Philips W626,,,Black,"TFT, 256K colors",,,116 x 62 x 14.3 mm (4.57 x 2.44 x 0.56 in),256MB,2.0,,"GPS, A-GPS",FM radio,HSDPA 850 / 2100 - SIM 1,,,480p,Removable Li-Ion 1530 mAh battery,,"Accelerometer, proximity, compass",
LED flash,,GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 1200 h,,,Yes,"2.1, A2DP",Yes,,,MP3/AAC+/WMA/WAV playerMP4/H.264 playerOrganizerVoice memoPredictive text input,,,Yes,,Dual SIM (Mini-SIM),,5 MP,132.8 g (4.66 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 23 h,microSDHC (dedicated slot),,,,,,"2011, December. Released 2011, December",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x623.jpg,"2.4 inches, 17.8 cm2(~30.7% screen-to-body ratio)",Philips X623,,"SMS(threaded view), MMS, Email","Black, Silver","IPS LCD, 256K colors","Yes, Photocall",Class 12,118.5 x 49 x 15.2 mm (4.67 x 1.93 x 0.60 in),64MB,2.0,Yes,No,"FM radio, RDS",,,,QCIF,Removable Li-Ion 2000 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,No,,,Up to 400 h,,Android 2.2 (Froyo),Yes,"2.1, A2DP",,,,,,,Yes,,Mini-SIM,,"5 MP, AF",-,,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,HSPA 7.2/0.384 Mbps,,,"2011, December. Released 2011, December",,GSM / HSPA,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerDocument viewerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w920.jpg,"4.3 inches, 52.6 cm2(~58.7% screen-to-body ratio)",Philips W920,,,Black/Gold,TFT,,,128 x 70 x 12.9 mm (5.04 x 2.76 x 0.51 in),180MB 512MB RAM,2.0,,"GPS, A-GPS",No,HSDPA 850 / 2100,,,480p,Removable Li-Ion 1280 mAh battery,,"Accelerometer, proximity, compass",
,416 MHz,Touchpad,,,Up to 1000 h,,Android 2.2 (Froyo),Yes,"2.1, A2DP",,,,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerDocument viewerOrganizerVoice memoPredictive text input,,,Yes,,Dual SIM (Mini-SIM),,"5 MP, AF",-,Mediatek MT6516,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Up to 15 h,microSDHC (dedicated slot),,,,,,"2011, December. Released 2011, December",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-v726.jpg,"3.2 inches, 30.5 cm2(~48.6% screen-to-body ratio)",Philips V726,,,Black/Gray,"TFT, 256K colors",,Class 12,110 x 57 x 14.3 mm (4.33 x 2.24 x 0.56 in),200MB,2.0,Yes,"GPS, A-GPS",No,,,,480p,Removable Li-Ion 2100 mAh battery,,Accelerometer,
LED flash,,No,,,Up to 1800 h,,,Yes,"2.1, A2DP",Yes,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,5 MP,158.8 g (5.57 oz),,Yes,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Up to 20 h,microSDHC (dedicated slot),,,,,,"2011, Q3",,GSM,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x622.jpg,"3.2 inches, 30.5 cm2(~46.3% screen-to-body ratio)",Philips X622,,"SMS(threaded view), MMS, Email",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 12,114.5 x 57.5 x 14.5 mm (4.51 x 2.26 x 0.57 in),44MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,QCIF@15fps,Removable Li-Ion 2100 mAh battery,,,Yes
LED flash,,No,,,Up to 500 h,,,Yes,"2.1, A2DP",Yes,,,,,,No,,Dual SIM (Mini-SIM),,3.15 MP,-,,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 10 h,microSDHC (dedicated slot),,,384 kbps,,,"2011, Q3",,GSM / HSPA,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w625.jpg,"3.0 inches, 25.6 cm2(~46.1% screen-to-body ratio)",Philips W625,,"SMS(threaded view), MMS, Email",Black/Silver,"TFT, 256K colors","Yes, Photocall",,109 x 51 x 17 mm (4.29 x 2.01 x 0.67 in),50MB,miniUSB 2.0,,No,FM radio,HSDPA 2100,,,320p@15fps,Removable Li-Ion 1530 mAh battery,,,"Yes, MIDP 2.0"
,,Flashlight,,,Up to 720 h,,,Yes,"2.0, A2DP, EDR",Yes,,,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,"Dual SIM (Mini-SIM, dual stand-by)",,VGA,108 g (3.81 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 - SIM 1 & SIM 2,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h,microSD (dedicated slot),,,,,,"2011, Q3",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x223.jpg,"2.4 inches, 17.8 cm2(~33.6% screen-to-body ratio)",Philips X223,,"SMS, MMS, Email",Black,"TFT, 65K colors","Yes, Photocall",Class 10,106.5 x 49.8 x 16.8 mm (4.19 x 1.96 x 0.66 in),,Proprietary,No,No,"Stereo FM radio, RDS",,,,Yes,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,No,,,Up to 1080 h,,,Yes,"2.1, A2DP",Yes,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,3.15 MP,108 g (3.81 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 14 h,microSDHC (dedicated slot),,,,,,"2011, Q3",,GSM,MP3/WAV/WMA/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x525.jpg,"3.0 inches, 25.6 cm2(~31.4% screen-to-body ratio)",Philips X525,,"SMS(threaded view), MMS, Email",Silver,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 12,160 x 51 x 14.4 mm (6.30 x 2.01 x 0.57 in),44MB,miniUSB 2.0,Yes,No,"Stereo FM radio, RDS",,,,QCIF,Removable Li-Ion 1530 mAh battery,,,Yes
,,CDMA 800,,,Up to 140 h,,,Yes,"2.1, A2DP",Yes,,,No,,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,No,,Mini-SIM,,"3.15 MP, AF",121 g (4.27 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 4 h,"microSDHC (dedicated slot), 2 GB included",,,EV-DO Rev.A 3.1 Mbps,,,"2011, Q3",,GSM / CDMA / EVDO,CDMA2000 1xEV-DO,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d813.jpg,"3.2 inches, 29.1 cm2(~46.1% screen-to-body ratio)",Philips D813,,"SMS(threaded view), MMS, Email",Silver,"TFT resistive touchscreen, 65K colors","Yes, Photocall",No,113 x 56 x 15.6 mm (4.45 x 2.20 x 0.61 in),130MB,miniUSB 2.0,No,GPS,No,,,,320p@15fps,Removable Li-Ion 1300 mAh battery,,Accelerometer,No
LED flash,,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,Yes,Up to 950 h (2G) / Up to 600 h (3G),,,Yes,"2.1, A2DP, EDR",Yes,,,,,,No,,"Dual SIM (Mini-SIM, dual stand-by)",,"5 MP, AF",-,,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 26 h (2G) / Up to 14 h (3G),microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2011, Q3",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w725.jpg,"3.2 inches, 29.1 cm2(~47.6% screen-to-body ratio)",Philips W725,,"SMS(threaded view), MMS, Email",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",,108.8 x 56.3 x 15 mm (4.28 x 2.22 x 0.59 in),100MB,miniUSB 2.0,,"GPS, A-GPS",FM radio,HSDPA 2100 - SIM 1 only,,,320p@30fps,Removable Li-Ion 2100 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
,,GSM 900 / 1800 / 1900 - SIM 2,,Yes,Up to 545 h (2G) / Up to 950 h (3G),,,Yes,"2.1, A2DP, EDR",Yes,,,,,,No,,Dual SIM (Mini-SIM),,3.15 MP,-,,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 22 h (2G) / Up to 12 h (3G),microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2011, July. Released 2011, July",,GSM / HSPA,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w715.jpg,"2.4 inches, 17.8 cm2(~31.7% screen-to-body ratio)",Philips W715,,"SMS(threaded view), MMS, Email",Black,"TFT, 256K colors","Yes, Photocall",,113.5 x 49.6 x 16.5 mm (4.47 x 1.95 x 0.65 in),80MB,miniUSB 2.0,,No,"Stereo FM radio, RDS",HSDPA 2100,,,320p@15fps,Removable Li-Ion 1900 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes,,,No,,MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,No,,Dual SIM (Mini-SIM),,2 MP,126 g (4.44 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 10 h,"miniSD, up to 16 GB",,,,,,"2011, July. Released 2011, July",,GSM,"External OLED display, 96x64 pixels",,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x526.jpg,"2.8 inches, 24.3 cm2(~41.6% screen-to-body ratio)",Philips X526,,"SMS(threaded view), MMS, Email, IM",Silver/Black,"TFT, 256K colors","Yes, Photocall",Class 12,109 x 53.6 x 18.5 mm (4.29 x 2.11 x 0.73 in),1MB,miniUSB 1.1,No,No,FM radio,,,,CIF@15fps,Removable Li-Ion 1200 mAh battery,,,"Yes, MIDP 2.0"
,,CDMA 800,,Yes,Up to 100 h,,,Yes,"2.0, A2DP",Yes,,,MP3/AAC/MP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,2 MP,105 g (3.70 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 3 h,"miniSD, up to 8 GB",,,EV-DO Rev.A 3.1 Mbps,,,"2011, July. Released 2011, July",,GSM / CDMA / EVDO,External OLED display,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d613.jpg,"2.4 inches, 17.8 cm2(~35.3% screen-to-body ratio)",Philips D613,,"SMS(threaded view), MMS, Email, IM",Black,"TFT, 65K colors","Yes, Photocall",,102 x 49.6 x 17.7 mm (4.02 x 1.95 x 0.70 in),117MB,miniUSB 2.0,,No,No,CDMA2000 1xEV-DO,,,320p@15fps,Removable Li-Ion 980 mAh battery,,,No
LED flash,,External 1 inch OLED display,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes,,,MP3/MP4 playerOrganizerVoice memoPredictive text input,,,Yes,,Mini-SIM,,3.15 MP,102.3 g (3.60 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2011, May. Released 2011, July",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x519.jpg,"2.4 inches, 17.8 cm2(~36.3% screen-to-body ratio)",Philips Xenium X519,,"SMS(threaded view), MMS, Email",Black,"TFT, 256K colors","Yes, Photocall",Class 12,98.2 x 50.1 x 18.2 mm (3.87 x 1.97 x 0.72 in),48MB,miniUSB 2.0,Yes,No,"FM radio, RDS",,,,320p@30fps,Removable Li-Ion 920 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,GSM 900 / 1800 / 1900 - SIM 2,,,Up to 850 h,,,Yes,"2.0, A2DP",No,,,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,QWERTY,Dual SIM (Mini-SIM),,2 MP,105 g (3.70 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,WAP 2.0,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Up to 10 h,microSDHC (dedicated slot),,,,,,"2011, May. Released 2011, May",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-f322.jpg,"2.4 inches, 17.8 cm2(~26.2% screen-to-body ratio)",Philips F322,,"SMS, MMS, Email",Pink,"TFT, 256K colors",Yes,Class 10,116 x 58.6 x 12.3 mm (4.57 x 2.31 x 0.48 in),5MB,miniUSB 2.0,No,No,FM radio,,,,CIF@15fps,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
